RedniBroj,Takson,Brojnost,Pokrovnost,Spratovnost,Broj_snimka,pokrovnost_snimka_po_zonama,Datum,Lokalitet,Vlažnost_Kojić1997,Kiselost_Kojić1997,Azot_Kojić1997,Svetlost_Kojić1997,Temperatura_Kojić1997,sintaksonomski element,LIGHT_Tichy_etal2023,TEMPERATURE_Tichy_etal2023,MOISTURE_Tichy_etal2023,REACTION_Tichy_etal2023,NUTRIENTS_Tichy_etal2023,SALINITY_Tichy_etal2023
49,Pyrus communis,1,2,B2,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,3,4,3,3,4,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",6.1,6,5,x,x,0
50,Potentilla incana,2,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,1,4,2,4,4,"5,3 - Klasa Festucetea vaginatae Soo 1968 em. Vich. 1972: Psamofitske zajednice, kao i zajednice razvijene na plitkim zemljištima ili kamenjarima, pretežno na serpentinu",8.6,6.6,2,8,1.3,0
51,Satureja kitaibelii,2,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
52,Globularia cordifolia,2,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,5,1,5,2,"5,23 - Red Festucetalia valesiacae Br.-Bl. et R.Tx. 1943: Kontinentalne, subkontinentalne i submediteranske biljne zajednice, kserotermnog karaktera",9,3.8,3.6,9,1.5,0
53,? Astragalus sp.,2,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
54,Abietinella abietina,0,0,C1,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
55,Carex caryophyllea,4,2,C,5,B2 - 15%; C - 70% ; C1 - 10%,23.4.2023,Svrljiške planine - između Gornjeg i Donjeg Rina,2,3,2,4,3,"5,2 Klasa Festuco-Brometea Br-Bl et R.Tx 1943: Kserofilne i polukserofilne livadske, livadsko-stepske i stepske bilne zajednica",7.9,x,4.2,x,2,0
56,Anacamptis morio subsp. caucasica,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,2,3,2,3,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.6,x,x,x,3.1,0.1
57,Orchis purpurea,1,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,3,4,3,3,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",5.5,6.9,4.3,8,3.2,0
58,Euphorbia myrsinites,1,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,8.8,6.2,3.3,7,2,0
59,Crepis sp.,3,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
60,Teucrium chamaedrys,5,4,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,1,4,1,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.4,6.5,2.6,8,1.6,0
61,Quercus pubescens,1,1,B2,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,2,4,2,3,5,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",6.8,x,3.9,6.9,3.5,0
62,Vicia sp.,3,3,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
63,Lathyrus cicera,2,2,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,1,3,3,3,5,nema,8,x,3.5,6.8,6,0
64,Rubus caesius,1,2,B2,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,4,3,5,3,4,nema,6.9,5.3,6.4,7.3,6.7,1
65,Medicago sp.,4,4,C,6,B2 - 1%; C - 90%,24.4.2023,Bukurovac-Donja Glama,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
